PartNo,PartName,User,Supplier,Date,SupplierQuote,Rec,SettledPrice
1643,among,Katherine Owens,"Brown, Harris and Russo",2023-02-09,369.14,252.67,264.43
2427,scene,Amanda Shah,Moreno PLC,2022-11-21,447.24,282.79,335.46
8098,daughter,James Frank,Johnson PLC,2023-04-28,156.55,104.2,117.11
7610,though,Alicia Christensen,Church LLC,2023-07-04,129.91,85.94,97.44
9341,staff,James Barker,Burch Ltd,2023-01-26,112.78,73.12,85.15
6359,then,Lance Robertson DDS,Jacobs LLC,2023-03-29,214.07,128.66,159.83
9683,civil,Raymond Reyes,"Adams, Brooks and Roach",2023-02-05,405.91,282.68,311.91
9038,even,Rebecca Jimenez,Harris LLC,2022-12-20,225.74,138.93,178.34
8309,whose,Anna Reyes,Dorsey PLC,2022-10-08,69.69,43.17,53.83
4569,health,Anna Small,"Stuart, Jackson and Phillips",2023-01-31,402.97,264.04,316.05
9475,base,Lori Snyder,Carpenter-Wright,2022-12-05,123.6,76.98,94.78
5655,always,Anthony Thompson,Lawrence Ltd,2023-02-05,57.59,39.16,44.76
4947,argue,Larry Pratt,"Rodriguez, Elliott and Hunter",2023-05-01,310.44,188.68,228.27
8105,organization,Bailey Brown,"Cain, Owen and West",2022-12-24,362.73,250.36,283.31
1289,how,Amy Harrison,"Stuart, Lambert and White",2023-03-31,497.25,335.81,397.44
2314,both,Tasha Dean,Fisher-Meza,2022-08-26,77.67,51.81,58.69
5121,task,Paul Lopez,"Robertson, Murphy and Anderson",2023-01-20,135.95,86.48,107.1
3983,still,James Anderson,"Horn, Price and Peters",2022-10-10,195.53,121.53,147.81
9681,chance,Juan Moyer,"Washington, Parker and Brown",2023-05-15,150.85,102.47,110.99
1623,consider,Jared Scott,Melton Group,2023-02-01,472.4,305.97,350.06
5038,science,Rachel Cantrell,"Pacheco, Lewis and Stevenson",2023-08-19,71.14,49.68,53.29
4552,size,Amy Dominguez,"Mercer, Kaiser and Hooper",2023-07-28,460.98,309.08,359.66
3231,land,Kayla Jones,"Gonzalez, Bates and Blanchard",2022-12-21,327.24,225.52,254.97
4576,detail,Luis Mcbride,Jones Group,2023-07-04,406.46,281.68,320.7
7747,various,Danielle Johnson,Cherry-Perez,2023-05-15,254.33,165.83,185.34
7271,on,Stephen Griffin,Hernandez Inc,2022-11-05,160.29,107.77,120.44
9925,especially,Pamela Smith,Hunter Group,2023-07-26,498.07,321.67,384.98
8486,weight,Amber Jacobs,Smith-Solis,2022-09-23,109.79,71.17,77.55
1423,present,Mark Nguyen,Miranda PLC,2022-10-01,479.0,309.31,380.74
8045,concern,Lorraine Gomez,Phillips-Gardner,2023-04-06,340.03,235.42,241.65
7305,quickly,Daniel Gomez,"Conrad, Schneider and Keller",2023-04-20,391.96,235.94,300.0
1580,chance,Whitney Bell,Howard and Sons,2023-04-27,447.29,287.69,333.8
2280,then,Brandi Hendricks,Blackwell-Moore,2023-02-28,302.63,184.88,240.52
1438,ok,Andrew Diaz,Robbins-Parker,2022-09-22,403.12,259.48,312.71
1367,two,Janice Thompson,Castillo Ltd,2023-03-06,64.45,45.06,47.38
1754,sea,Timothy Hoffman,Harding-Hoffman,2022-11-21,271.21,175.67,208.09
8033,source,Brad Nielsen,Williams-Bell,2023-03-09,207.15,144.66,159.11
4442,board,Nathan Evans,Lopez Inc,2022-10-08,179.77,124.27,137.59
2193,arrive,Shannon Hess,Kelly-Cook,2022-10-10,231.5,144.63,162.08
5385,dream,Christopher Calhoun,"Diaz, Stanley and Carter",2023-06-02,366.25,224.11,268.41
9594,yourself,Fernando Lopez,Buchanan-Yu,2022-11-21,253.44,173.55,180.11
3177,report,Lisa Murray,Jones Inc,2022-10-06,304.72,201.28,222.57
3188,traditional,Lynn Bennett,Sutton Ltd,2022-12-29,131.24,91.15,94.95
6878,difficult,Daniel Johnson,"Forbes, Evans and Oneal",2023-08-03,481.24,296.81,351.04
9640,success,William Wheeler,"Garcia, Johnson and Klein",2023-04-14,149.78,92.16,107.2
3047,soon,Paul Miller,Peck-Smith,2023-06-04,153.05,92.03,122.05
2975,lawyer,Tiffany Burns,"Phillips, Burke and Burnett",2023-05-07,116.8,76.3,90.91
5406,probably,Carl Kelley,"Bates, Martinez and Dunn",2023-03-19,436.94,280.55,344.06
4644,thus,Kaylee Christensen,Russell and Sons,2022-10-27,308.86,201.64,221.88
2296,usually,Steven Mendoza,Dennis LLC,2023-02-17,93.3,61.47,72.76
7819,boy,Jonathan Brooks,"Dawson, Harrison and Navarro",2023-06-08,184.93,124.48,141.22
6627,forward,Mark Thomas,Miranda-Andrews,2022-09-26,278.8,190.26,217.18
1045,power,Jennifer Perez,Robinson-Mejia,2023-06-06,126.81,78.07,92.77
5778,rock,Karen Gould,Ramirez LLC,2023-05-01,417.78,262.48,298.44
3343,walk,Alexandria Tate,Moran-Schroeder,2022-10-07,344.82,227.07,273.7
2652,unit,Julie Davis,"Morrow, Terrell and Taylor",2023-07-13,341.56,234.88,245.15
7924,let,Mr. Charles Barrett,"Ward, Cook and Henry",2023-08-04,407.44,279.72,287.15
4672,country,Janet Walsh,Johnston LLC,2022-11-21,186.84,121.52,132.22
1784,ok,Mary Williams,Davidson-Wood,2023-03-27,99.52,64.0,78.26
8434,value,Daniel Haynes,Le LLC,2023-02-08,162.25,112.7,118.59
1638,company,Adam Meadows,Romero Inc,2023-03-14,371.82,227.87,280.81
8580,foreign,Todd Cook,"Taylor, Rowland and Gonzalez",2023-04-29,346.76,241.32,267.57
1099,treat,Maria Rodriguez,Lane-Gregory,2023-07-14,389.89,238.18,291.87
4809,director,Taylor Duran,Jenkins Group,2023-07-01,229.5,156.17,167.49
7807,floor,Rachel Johnson,Williams-Hernandez,2023-04-25,283.29,180.09,210.39
6910,significant,George White,Peters-Johnson,2022-12-31,208.78,130.88,149.52
3678,bill,Emma Edwards,Kim LLC,2022-09-26,468.73,292.21,356.26
9037,television,Evan Mason,Collins Inc,2022-10-06,494.8,304.16,368.85
1668,fill,Casey Baker,Deleon-Williams,2023-05-08,374.46,247.34,287.14
7384,door,Michelle Waters,Andrews-Johnson,2023-04-06,193.57,116.56,144.58
1740,space,Meghan Mayo,"Colon, Burns and Barnes",2022-12-23,231.35,150.19,167.54
4721,deal,Mary Fields,Jackson-Williams,2023-08-20,293.68,179.17,225.87
7650,policy,Phillip Matthews,Cooley-Jenkins,2022-12-18,148.88,98.46,106.42
3510,important,Mary Dillon,Jensen-Kim,2022-12-07,319.16,192.9,251.93
1696,less,Deborah Parker,Shaffer Inc,2022-11-16,328.47,210.21,260.22
4154,protect,Edward Hernandez Jr.,"David, Blair and Robertson",2023-01-14,396.33,258.62,293.33
1478,cover,Kayla Flores,Gomez-Thomas,2022-11-15,495.23,333.01,362.0
2847,network,Jamie Campbell,"Hanson, Black and Braun",2023-01-19,418.32,251.3,330.28
3517,kid,Rebecca Wilson,Burch-Williams,2023-05-27,423.91,296.24,300.81
2093,course,Teresa Cooper,Cook Ltd,2023-04-06,393.64,250.43,296.26
3933,blue,Chelsea Cordova,"Ramirez, Gillespie and Harris",2023-04-19,359.49,215.74,275.77
9832,man,Stephen Decker,Salazar LLC,2022-12-29,214.5,141.12,169.54
7894,ever,Laura Logan,Allen Ltd,2023-05-14,218.05,145.57,169.7
8900,material,Bailey Jackson,Robinson-Strickland,2022-11-28,250.67,153.52,177.84
9729,century,Stephen Miller,Phillips-Morris,2023-04-02,238.74,149.36,186.22
5523,hope,Cynthia Sharp,Anderson-Ramsey,2022-12-19,356.21,218.87,281.64
7508,specific,Alyssa Mendez,Atkins-Mckinney,2023-08-02,137.99,95.16,107.12
2879,design,Peter Baker,Parker LLC,2023-01-22,343.52,223.26,252.96
2220,yes,Stacey Burns,Becker-Schwartz,2023-03-03,107.09,71.18,75.54
8562,some,Jeffrey Roberts,Curtis LLC,2023-01-21,347.42,210.35,263.68
9175,finally,Kaitlyn Flowers,"George, Garcia and Mccarty",2023-01-27,54.79,37.77,40.25
5442,where,Vanessa Scott,"Jackson, Gray and Jackson",2023-01-10,375.09,236.69,287.57
9595,you,Dawn Smith,Cruz LLC,2022-10-25,176.89,118.39,140.7
1872,talk,Manuel Schneider,Garrett-Gonzalez,2023-04-22,444.55,283.34,331.29
4812,market,Mary Lewis,"Garcia, Mills and Rubio",2022-12-23,184.87,128.02,138.34
4627,ground,Kelly Turner,"Fox, Burton and Moore",2023-04-11,452.96,315.73,319.67
6173,there,Casey Hill,Burton-King,2023-06-07,176.24,111.98,125.48
3291,indeed,Maria Davis,Dorsey LLC,2023-03-08,236.73,148.22,169.32
8735,should,Caitlyn Lindsey,Walls LLC,2023-07-02,417.37,250.93,314.81
5143,threat,Dominique Blackwell,Clark-Day,2023-05-02,121.88,75.37,86.19
6153,company,Robert Stewart,Banks Group,2022-11-15,297.47,208.09,226.36
7232,none,Megan David,Miller-Martinez,2023-07-06,158.66,97.38,112.62
4888,receive,Leslie Baker,Navarro Ltd,2023-01-22,191.31,122.65,148.65
6605,industry,Robert Lutz,Day-Cooper,2023-01-17,363.25,241.36,288.63
4342,sound,Stephanie Stephens,Gibson-Martinez,2022-11-30,363.72,218.62,289.46
8096,opportunity,Cynthia Murphy,Fitzpatrick-Spence,2022-11-12,396.95,257.18,298.51
5558,cup,Jeffrey Flores DDS,Campbell Group,2023-07-27,109.84,75.69,82.6
4676,federal,Jody Oliver,"Carter, Cook and Mitchell",2022-09-06,228.74,142.42,181.25
2109,oil,Jacqueline Foster,Arnold Inc,2023-06-24,159.16,99.72,114.85
2123,writer,Veronica Little,Middleton and Sons,2023-04-22,263.8,166.58,205.36
2374,trade,Roger Reid,Ortiz and Sons,2022-10-07,190.15,127.97,148.33
3482,policy,Jean Carr DVM,Morales-Mendoza,2023-05-08,347.06,239.89,257.97
6875,military,Lisa Sullivan,"Hood, Gallegos and Tanner",2023-04-16,85.29,55.41,62.02
2645,night,Brian Rodriguez,Hess-Wolfe,2022-08-31,258.1,156.02,188.17
5451,black,Abigail Robinson,"Perez, Howell and Cherry",2023-04-18,205.26,124.83,162.86
8985,choice,Craig Jackson,Hanson LLC,2022-12-15,105.36,67.87,82.38
4069,let,Brian Gray,Calderon LLC,2022-09-05,190.17,115.8,145.21
3362,admit,John Clark,"Serrano, Perry and Thompson",2022-12-18,351.15,220.58,280.71
6681,member,Leslie Lee,"Larson, Diaz and Pope",2022-10-09,186.17,123.04,138.16
7412,together,Craig Brooks,Young Group,2023-08-21,427.49,268.5,303.02
8838,should,Kim Baker,Conley-Stephenson,2023-06-16,463.44,312.29,359.96
7985,item,Susan Moreno,Phillips PLC,2023-01-02,125.0,86.4,89.76
1152,see,Alyssa Cox,Young-Burns,2022-09-05,256.26,159.66,187.18
3364,myself,Kimberly Foster,Walker-Hogan,2023-01-12,287.69,186.34,202.32
1907,here,Lisa Davis,Jones-Weeks,2023-04-21,320.37,206.75,241.67
6915,finally,Michael Gallagher,Wilson Group,2023-04-23,318.1,219.12,231.51
2112,happen,Diana Zimmerman DDS,"Nielsen, Jacobs and Farmer",2023-07-22,319.2,215.17,251.23
8984,every,Danielle King,Allen-Velez,2023-04-11,133.08,80.27,94.21
8883,room,Dr. Courtney Hampton,Garcia-Fleming,2023-08-26,162.9,101.59,124.84
3329,each,Jessica Coleman,Baker Group,2023-04-26,379.35,240.64,296.15
6853,fund,Ronald Acosta,Knapp and Sons,2023-02-23,236.6,147.74,185.94
7379,modern,Robert Owen,Brown Ltd,2023-08-26,235.8,153.63,176.54
8977,among,Cathy Dixon,"Mullen, Smith and Mosley",2023-03-10,272.37,177.1,208.46
4443,nearly,Ashley Hunter,Miller Group,2023-05-08,115.15,76.49,85.89
7095,share,Keith Bender,Lucero-Robinson,2022-12-17,391.28,272.46,312.62
7622,discover,Nicole Heath,Robertson Inc,2023-07-22,100.59,65.61,78.62
8443,difficult,Michael Hunter,Lewis Ltd,2023-08-18,195.59,121.11,147.65
8597,institution,Timothy Lopez,Jones and Sons,2022-09-18,400.81,255.82,294.51
8272,American,Jamie Wilson,Griffin-Mcdaniel,2022-12-10,462.13,300.13,369.49
4300,teacher,Cory Koch,"Davenport, Duarte and Frost",2023-05-02,433.35,267.7,325.09
3191,four,Megan Thomas,Peterson-Lopez,2023-07-19,303.51,209.25,221.93
8964,rate,Mr. Charles Sullivan MD,"Wilson, Hernandez and Snyder",2023-08-20,183.1,121.89,144.41
6415,window,Natalie Ortiz,Ware-Moore,2023-06-27,303.46,203.75,214.5
5990,leader,Kevin Simmons,Sandoval LLC,2022-12-01,221.31,144.12,168.38
7709,yeah,Ralph Roberts,Black-Collins,2022-11-29,436.4,265.6,314.65
7416,their,April Davis,Jones-Arias,2022-10-09,206.73,140.66,152.0
1110,player,James Bright,Obrien-Gallegos,2022-12-19,372.26,249.87,292.66
3114,military,James Perez,Young-Carter,2023-07-21,474.07,328.45,334.96
3159,across,Christopher Blackburn,"King, Sandoval and Krause",2023-08-11,421.97,290.98,333.62
6991,whom,Amanda Hansen,Gonzales PLC,2023-02-21,492.78,329.93,381.96
9255,boy,Joshua Douglas,Bennett Inc,2023-04-27,129.09,78.64,95.8
4496,idea,Gregory Marquez,"Collins, Vazquez and Franklin",2023-02-24,58.56,39.09,42.72
1844,example,Cheryl Escobar,"Johnson, Gaines and Reyes",2023-05-26,322.45,197.69,257.29
2579,military,Carol Brown,Foster-Stevenson,2023-01-05,141.01,97.72,108.9
1792,past,Lauren Gonzalez,Lawson-King,2022-12-22,146.87,92.71,115.43
5140,color,Charles Rose,West-Fox,2023-02-26,406.96,263.33,321.26
3762,operation,Tiffany Bowers,Goodwin Ltd,2023-02-01,113.63,72.22,81.25
6917,phone,Zachary Harris,"Patel, Bush and Schmidt",2022-11-24,364.47,235.22,282.96
8274,figure,James Castro,Morris-Hartman,2023-07-10,297.88,189.13,223.92
2323,probably,Richard Martin,Coffey Inc,2022-10-13,487.49,329.41,346.83
9748,thing,Zachary Woods,Morton-Walters,2023-02-28,156.5,99.55,120.44
6228,few,Andrew Davis,"Lynch, Taylor and Gonzales",2023-01-29,446.89,278.41,333.91
6060,pick,Mary French,"Marquez, Griffin and Carter",2023-04-21,485.11,320.51,374.77
4300,garden,Lori Brown,Smith Group,2022-09-28,68.38,47.4,54.27
4246,but,Robin Brown,Davenport-Hernandez,2022-11-02,287.71,199.53,201.93
5283,sign,Todd Hodge,"Lloyd, Mitchell and Johnson",2022-12-13,397.79,256.19,299.84
6247,watch,Brittany Hanson,"Buchanan, Bennett and Martinez",2023-04-22,376.33,255.6,297.24
6057,drug,Megan Martinez,Gray-Brown,2022-11-05,347.57,213.53,275.0
9997,significant,Amanda Payne MD,Stewart and Sons,2023-05-19,91.42,55.74,70.33
3292,music,Stephen Ortiz,Rodgers-Durham,2023-04-21,428.11,290.37,314.1
4855,court,Brian Freeman,"Riggs, Scott and Bailey",2023-06-29,300.61,197.66,210.7
9438,green,Travis Myers,Miller-Jackson,2023-05-10,142.34,94.77,105.67
4486,analysis,Amy Everett,Keller LLC,2023-08-07,306.51,187.11,218.19
5623,purpose,Kimberly Martinez,"Rivera, Ortiz and Flores",2023-06-15,460.65,291.21,340.32
8959,there,Joshua Cameron,Hall-Short,2022-12-24,123.54,77.71,90.55
8566,prove,Fernando Beard,"Barton, Finley and Pittman",2022-11-30,267.0,162.5,196.09
1360,the,Mary Sanchez,"Mccall, Blankenship and Anderson",2022-10-09,212.99,131.47,159.09
6537,soldier,Nathaniel Thomas,"Anderson, Ramirez and Anderson",2023-01-08,181.53,123.6,139.46
2264,color,Paula Burke,Nguyen-Collins,2022-09-09,151.72,105.07,119.54
7809,season,Henry Williams,Silva and Sons,2023-06-02,262.78,174.5,208.76
6026,mind,Monica Lee,Lee Group,2023-07-28,220.95,144.04,157.43
8807,several,Brian Johnson,Wilson-Conrad,2023-02-16,394.26,274.87,298.9
9137,mention,Mary Stevens,Fisher-Bell,2023-08-23,69.13,45.28,53.35
5814,month,Adam Taylor,Sanders-Wheeler,2023-01-06,363.79,233.76,285.53
2172,return,James Massey,Walter-Ramsey,2022-09-26,190.23,132.25,147.42
9120,deep,David Schultz,Mcclure-Stevens,2023-01-25,97.41,65.77,75.66
4424,suffer,Brenda Harmon,"Houston, Moore and Lee",2022-09-06,287.21,175.4,216.26
5035,right,Corey Prince,Coleman-Taylor,2023-04-06,117.92,82.11,86.4
6233,tree,Mackenzie Jones,Williams-Elliott,2022-11-12,480.82,318.11,378.72
1964,hair,Lawrence Espinoza,"Bullock, Hernandez and Ortiz",2022-11-28,147.69,97.81,112.99
4371,may,John White,"Blair, Brown and Gutierrez",2023-08-16,272.01,189.84,210.13
4639,sense,Thomas Burgess,"Guerrero, Edwards and Johnson",2022-09-16,471.84,322.91,342.98
2879,training,Samantha Green,Sullivan Inc,2022-12-21,326.32,209.79,246.57
3517,TV,Philip Hernandez,"Taylor, Gonzalez and Hernandez",2023-07-23,313.32,204.35,221.58
6819,identify,Stephanie Reilly,"Johnson, Fox and Calderon",2023-03-10,415.26,281.57,307.19
9593,style,Tiffany Rowe,Rodriguez-Johnson,2023-02-03,256.46,164.56,184.02
4848,front,Michael Watson,"Frazier, Lopez and Schwartz",2023-04-15,282.21,192.19,213.63
9516,general,Samantha Banks,Collier-Brown,2023-02-19,353.96,217.45,257.56
3722,than,James Garcia,"Galloway, Cannon and Schmitt",2023-05-25,131.02,84.88,94.42
7429,reach,Marcus Olsen,"Alvarez, Bruce and Todd",2023-06-07,383.52,241.36,287.33
6166,society,Jennifer Wilkerson,Roberts-Oliver,2023-08-04,274.33,176.66,201.88
3740,hair,Bethany Brewer,"Mercado, Scott and Ramirez",2023-02-16,373.02,240.14,267.58
2868,care,Matthew Johnson,Erickson LLC,2023-03-28,131.23,79.09,93.0
4513,return,Mary Caldwell,Smith Ltd,2023-07-18,455.85,300.49,331.63
4780,example,Michael Jenkins,Huang-Miller,2023-06-08,469.71,319.66,363.13
7519,price,Shawn Johnston,"Mullins, Lester and Rodriguez",2022-10-11,143.73,92.74,100.97
1685,hand,Evan Short,Murphy-Lawrence,2023-01-05,71.41,48.36,52.61
5398,summer,Steven Stevens,Reeves-Oneal,2023-04-17,208.55,137.94,153.62
8948,else,Bailey Lucas,Montoya-Jenkins,2022-11-09,264.86,182.11,208.45
6786,machine,Sarah Huerta,Patterson-Clark,2023-05-24,139.04,90.15,108.81
3672,heart,Erica White,Pineda Group,2022-11-06,150.41,104.21,113.4
4245,language,Ricky Barrera,"Hurley, Leblanc and Gillespie",2022-08-30,309.47,213.14,242.92
1692,certainly,Edward Mccarty,Bolton Ltd,2022-10-04,142.64,92.96,106.34
2947,trouble,Heidi Bean,Adams Inc,2022-10-28,349.24,225.09,248.32
6209,card,Mary Scott,Kim and Sons,2023-05-30,339.31,225.1,267.34
6456,process,Samuel Pearson,Mccullough PLC,2023-07-07,288.68,195.07,227.27
1441,financial,Michael Bowers,Roberts Inc,2023-05-25,348.68,225.25,267.65
3289,area,Heather Avila,Bond-Ortiz,2023-04-15,456.29,280.25,326.79
3608,parent,Elizabeth Johnson,Green PLC,2023-01-20,403.43,269.34,312.34
8430,chair,Carolyn Carroll,Trujillo-Hill,2022-12-21,262.26,158.01,199.17
2197,mother,Kristen Stewart,"Foley, Guerrero and Brown",2023-02-05,359.43,216.63,251.91
5852,language,Kathy Miller,Smith-Flores,2022-10-13,266.06,179.25,200.23
5142,including,Veronica Martinez,"Prince, Roberts and Weber",2022-12-28,117.18,78.13,83.77
9749,work,Albert Cuevas,Briggs-Henry,2023-07-05,65.51,43.86,51.39
1055,within,Alfred Doyle,Randall-Acosta,2023-01-13,185.45,117.55,138.87
2461,eye,Sarah Rodriguez MD,Stanton-Vincent,2023-08-01,461.27,320.11,333.05
6847,answer,Frank James,Burns Ltd,2023-07-14,141.06,92.98,109.8
8728,big,Robert Taylor,Green-Adams,2022-10-09,395.48,263.42,293.96
8772,peace,Ronnie Davis,Morgan-Robertson,2023-04-16,326.76,220.27,236.36
5650,stop,John Browning,Espinoza-Rodriguez,2023-05-18,343.92,214.07,266.62
5251,market,Brenda Morgan,Schmidt-Santos,2023-04-06,492.37,326.13,390.48
2733,here,Courtney Webster,Johnson-Stokes,2023-02-28,354.01,236.68,280.2
9001,wall,Janice Luna,Miles-Matthews,2023-03-07,419.28,253.45,330.16
1796,name,Gloria Hart,"Berg, Young and Dominguez",2023-03-01,57.27,34.64,44.43
3680,past,Nathan Anderson,"Tucker, Carroll and Pierce",2023-05-29,424.41,280.51,307.71
6693,know,Brian Smith,Smith-Rose,2022-11-20,476.08,305.26,376.0
2157,water,Ashley Gordon,"Daniels, Hoffman and Montgomery",2023-01-11,60.49,37.38,45.47
8631,suffer,Mr. Jeffrey Green,Singleton-Murray,2023-08-25,457.35,314.21,325.96
4170,create,Matthew Henderson,Herman-Willis,2023-08-04,372.77,252.11,289.39
5701,that,Phillip Caldwell,Johnson and Sons,2023-07-14,104.27,68.74,78.7
5407,off,Kimberly Zavala,"Dennis, Morgan and Miller",2023-01-13,489.9,321.0,378.96
9238,either,Brandon Marquez,"Hensley, Roman and Wu",2023-02-01,408.15,259.54,318.28
6074,fine,Dr. Justin Glover,"Wilson, Collins and Moran",2023-06-11,145.31,94.84,111.81
1650,when,John Brewer,"Johnson, Griffin and Jones",2023-06-09,416.39,279.09,321.61
5978,magazine,John Snow,"Freeman, Osborne and Chavez",2023-04-16,69.39,46.2,54.74
1951,evening,Kristopher Gray,Henry-Guzman,2023-03-26,115.03,79.18,85.04
5766,improve,Jessica Burnett,"Terry, Kelley and Smith",2023-06-11,266.69,177.51,190.85
9237,quickly,Christina Conrad,Davis-Adams,2022-08-31,182.8,124.05,138.07
6304,but,Tracy Valencia,Montoya Ltd,2023-03-01,190.73,126.09,151.53
8778,their,Betty Moore,"Ramirez, Wagner and Harris",2023-06-05,301.82,183.44,225.51
8463,popular,Anna Kemp,Miller-Lindsey,2022-12-17,190.46,130.95,141.38
3273,investment,Hannah Moreno,Greene Group,2023-07-03,56.57,36.1,41.21
7770,admit,Matthew Gardner,Nichols and Sons,2023-08-03,202.76,138.71,148.01
3373,keep,Patricia Moran,Lane-Phillips,2022-12-31,410.22,262.98,322.83
5898,week,Brittany Brown,Orr-Boyd,2022-10-31,413.6,276.18,303.47
3185,rock,John Murray,"Le, Cox and White",2023-03-18,349.85,223.23,251.98
6387,maintain,Daniel Tanner,"Becker, Jones and Meyer",2023-05-18,497.38,302.99,374.91
1655,animal,Janet Griffin,Mosley and Sons,2023-07-08,421.9,275.63,302.34
2961,indeed,Keith Holland,Williams-Miller,2022-12-22,249.04,151.67,196.36
2758,example,Teresa Jones,Mcdonald LLC,2023-08-26,423.38,288.55,331.18
4959,dark,Christine Ward,"Wallace, Gentry and Reed",2023-07-16,290.45,189.18,230.63
4366,better,David Tucker,Welch-Carter,2023-01-30,414.19,250.63,290.75
2496,say,Deborah Davis,Figueroa Inc,2022-09-02,193.81,122.84,146.05
4838,program,Emily White,Peters-Sullivan,2023-06-01,259.8,170.7,190.59
6398,risk,Valerie Reeves,Andrews PLC,2022-09-03,316.6,191.7,242.51
9865,suffer,Christina Good,Davis-Jacobs,2022-12-06,483.61,316.71,345.44
4255,through,Jennifer Ingram,Smith-Gordon,2023-08-08,129.02,83.76,101.83
7869,choose,Deborah King,"Cooke, Scott and Lynch",2022-11-07,50.71,33.64,36.98
2722,modern,Barbara Powell,"Matthews, Travis and Brown",2022-10-24,457.71,276.3,332.55
5218,financial,Michelle Taylor,Brooks Inc,2023-06-24,471.99,299.62,339.07
6614,especially,Michael Guerra,"Williamson, Gordon and Lambert",2023-08-09,324.68,225.46,234.45
7079,really,Russell Carter,"Lee, Hill and Wallace",2022-10-23,243.8,148.33,179.71
7272,education,Katherine Hansen,Crawford-Roy,2022-11-08,133.88,84.96,98.26
9662,program,Lisa Alvarado,"Rodriguez, Hanson and Ellis",2022-09-28,427.59,290.7,336.55
7155,matter,Mark Bailey,"Faulkner, Smith and Clark",2023-02-23,94.4,64.19,74.38
1511,know,Michael Evans,Flores-Warren,2022-10-05,199.97,128.94,146.3
1851,yard,Erika Rodriguez,Smith-Miller,2022-11-23,61.2,42.01,47.61
9214,hour,Trevor Ruiz,Frank-Jimenez,2023-05-10,54.24,37.65,39.66
1985,decision,Mitchell English,"Malone, Marsh and Ortiz",2023-03-21,105.26,69.98,83.66
3924,rest,Thomas West,"Parks, Stout and Jenkins",2023-06-17,412.2,287.57,291.66
2683,old,Bethany Molina,Owens-Williams,2023-03-09,439.93,286.6,322.02
8795,situation,James Ruiz,Steele-Simpson,2023-08-25,176.98,106.98,124.47
4916,a,Kim James,"Crane, Stevenson and Houston",2022-10-28,201.33,124.17,147.78
